Redump Game Name (Region Dupes),Dupe 1,Dupe 2,Dupe 3,Dupe 4,Dupe 5,Dupe 6,Notes
"Pro Evolution Soccer 2 (Europe) (En,Fr,De,Es,It)","World Soccer Winning Eleven 6 - International (USA) (En,Fr,De,Es,It)",,,,,,
"Pro Evolution Soccer 3 (Europe) (En,Fr,De,Es)","World Soccer Winning Eleven 7 - International (USA) (En,Fr,De,Es,It)",,,,,,
"Pro Evolution Soccer 4 (Europe) (En,Fr,De,Es) (v2.00)","World Soccer Winning Eleven 8 - International (USA) (En,Fr,De,Es,It)",,,,,,
"Pro Evolution Soccer 5 (Europe) (En,Fr,De,Es)","World Soccer Winning Eleven 9 (USA) (En,Fr,De,Es,It)",,,,,,
Pro Evolution Soccer 6 (Europe),"Winning Eleven - Pro Evolution Soccer 2007 (USA) (En,Fr,De,Es,It)",,,,,,
Pro Race Driver (USA),"DTM Race Driver (Europe) (En,Fr,De) (v2.00)","DTM Race Driver (Europe) (En,Fr,De) (v1.01)","TOCA Race Driver (Europe) (En,Fr,Es) (v2.00)","TOCA Race Driver (Europe) (En,Fr,Es) (v1.01)",V8 Supercars Australia - Race Driver (Australia) (v2.00),V8 Supercars Australia - Race Driver (Australia) (v1.00),
"ProStroke Golf - World Tour 2007 (USA) (En,Fr,De,Es,It)","ProStroke Golf (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
Q-Ball - Billiards Master (USA),"Pool Master (Europe) (En,Fr,De)","Pool Master (Europe) (En,Fr,De) (Rev 1)",,,,,
R-Racing Evolution (USA),"R-Racing (Europe) (En,Fr,De,Es,It)",,,,,,
"Ratchet - Deadlocked (USA) (En,Fr,Es)","Ratchet - Gladiator (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
Ratchet & Clank - Going Commando (USA) (v2.00),"Ratchet & Clank 2 (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
"Ratchet & Clank - Up Your Arsenal (USA) (En,Fr,Es)","Ratchet & Clank 3 (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
"Rayman 2 - Revolution (USA) (En,Fr,De,Es,It)","Rayman Revolution (Europe) (En,Fr,De,Es,It)",,,,,,
Rayman Arena (USA),"Rayman M (Europe) (En,Fr,De,Es,It) (v2.00)","Rayman M (Europe) (En,Fr,De,Es,It) (v1.02)",,,,,
Real Pool (USA),"International Cue Club (Europe) (En,Fr,De,Es,It)",,,,,,
RedCard 20-03 (USA),"RedCard (Europe) (En,Fr,De,Es,It)",,,,,,
"Rise to Honor (USA) (En,Zh)","Rise to Honour (Europe) (En,Fr,De,Es,It,Zh)",,,,,,
River King - A Wonderful Journey (USA),Harvest Fishing (Europe),,,,,,
Road Trip (USA),"Road Trip Adventure (Europe) (En,Fr,De)",,,,,,
Rock Band - Track Pack Volume 1 (USA),"Rock Band - Song Pack 1 (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
Rock Band - Track Pack Volume 2 (USA),"Rock Band - Song Pack 2 (Europe) (En,Fr,De,Es,It)",,,,,,
Saturday Night Speedway (USA),Stock Car Speedway (Europe),,,,,,
SBK - Superbike World Championship (USA),"SBK 08 - Superbike World Championship (Europe) (En,Fr,De,Es,It)",,,,,,
Score International Baja 1000 - The Official Game (USA),Score International Baja 1000 - World Championship Off Road Racing (Europe),,,,,,
Sega Genesis Collection (USA),"Sega Mega Drive Collection (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
Sega Sports Tennis (USA),"Virtua Tennis 2 - Sega Professional Tennis (Europe) (En,Fr,De,Es)",,,,,,
Shadow Hearts - Covenant (USA) (Disc 1),"Shadow Hearts II (Europe, Australia) (En,Fr,De) (Disc 1)",,,,,,
Shadow Hearts - Covenant (USA) (Disc 2),"Shadow Hearts II (Europe, Australia) (En,Fr,De) (Disc 2)",,,,,,
Shadow of Destiny (USA),"Shadow of Memories (Europe) (En,Fr,De,Es,It)",,,,,,
Shin Megami Tensei - Nocturne (USA),"Shin Megami Tensei - Lucifer's Call (Europe) (En,Fr,De)",,,,,,
Shox (USA),Shox - Rally Reinvented (Europe),"Shox - Rally Reinvented (Europe) (En,Fr,De,Es,It,Sv,Fi)",Shox - Rally Reinvented (Australia),,,,
Silent Scope 2 - Dark Silhouette (USA),"Silent Scope 2 - Fatal Judgement (Europe) (En,Ja,Fr,De,Es,It)",,,,,,
SingStar Pop (USA),SingStar Popworld (UK),,,,,,
SingStar Rocks! (USA),SingStar Rocks! with RTE 2fm (Europe),,,,,,Unsure
SingStar Summer Party (Europe),"SingStar Party (Europe, Australia)",SingStar Party Hits (Australia),,,,,
Ski-Doo Snow X Racing (USA),"SXR - Snow X Racing (Europe) (En,Fr,De,Es,It)",,,,,,
Sly 3 - Honor Among Thieves (USA),"Sly 3 - Honour Among Thieves (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",,,,,,
Sly Cooper and the Thievius Raccoonus (USA),"Sly Raccoon (Europe) (En,Fr,De,Es,It)",,,,,,
Soccer America - International Cup (USA),"International League Soccer (Europe) (En,Fr,De,Es,It)",,,,,,
Soccer Mania (USA),"Football Mania (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)",,,,,,
Space Channel 5 - Special Edition (USA) (Disc 1),"Space Channel 5 (Europe) (En,Fr,De,Es,It)",,,,,,Unsure
Space Channel 5 - Special Edition (USA) (Disc 2),"Space Channel 5 Part 2 (Europe) (En,Fr,De,Es,It)",,,,,,Unsure
Splashdown - Rides Gone Wild (USA),"Splashdown 2 - Rides Gone Wild (Europe) (En,Es,It)","Splashdown 2 - Rides Gone Wild (Europe) (En,Fr,De)",Splashdown 2 - Rides Gone Wild (Australia),,,,
Stretch Panic (USA),Freak Out (Europe),,,,,,
Summer Athletics - The Ultimate Challenge (USA),"Summer Athletics (Europe) (En,Fr,De,Es,It)",,,,,,
Super Trucks Racing (USA),"Super Trucks (Europe) (En,Fr,De,Es,It,Nl)",,,,,,
Suzuki TT Superbikes - Real Road Racing (USA),"TT Superbikes (Europe) (En,Fr,De,Es,It)",,,,,,Unsure
Suzuki TT Superbikes - Real Road Racing Championship (USA),"TT Superbikes - Real Road Racing Championship (Europe) (En,Fr,De,Es,It)",,,,,,
Test Drive - Eve of Destruction (USA),Driven to Destruction (Europe),,,,,,
Test Drive (USA) (v2.00),"TD Overdrive - The Brotherhood of Speed (Europe) (En,Fr,De,Es,It)",,,,,,
Test Drive Off-Road - Wide Open (USA),"Off-Road - Wide Open (Europe) (En,Fr,De,Es,It)",,,,,,
Theme Park Roller Coaster (USA),"Theme Park World (Europe) (En,Fr,De)",,,,,,
Thunder Strike - Operation Phoenix (USA) (v2.00),"Thunderhawk - Operation Phoenix (Europe) (En,Fr,De,Es,It)",,,,,,
Tiger Woods PGA Tour 2001 (USA),Tiger Woods USA Tour 2001 (Australia),,,,,,
Tiger Woods PGA Tour 2002 (USA),Tiger Woods USA Tour 2002 (Australia),,,,,,
Time Crisis - Crisis Zone (USA),"Crisis Zone (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
TOCA Race Driver 2 (USA),"DTM Race Driver 2 (Europe) (En,Fr,De,Es,It)","V8 Supercars Australia 2 (Australia) (En,Fr,De,Es,It)",,,,,
TOCA Race Driver 3 - The Ultimate Racing Simulator (USA),"DTM Race Driver 3 (Europe) (En,Fr,De,Es,It)","TOCA Race Driver 3 (Europe) (En,Fr,De,Es,It)",V8 Supercars Australia 3 (Australia),,,,
Tokyo Xtreme Racer - Drift 2 (USA),"Kaido Racer 2 (Europe) (En,Fr,De)",,,,,,
Tokyo Xtreme Racer - Zero (USA),Tokyo Xtreme Racer (Europe),,,,,,
Top Gear Dare Devil (USA),TG DareDevil (Europe),,,,,,Unsure
"Total Overdose - A Gunslinger's Tale in Mexico (USA) (En,Fr,Es)","Total Overdose (Europe) (En,Fr,De,Es,It)",,,,,,
Walt Disney's The Jungle Book - Rhythm n' Groove (USA),"Disney's Jungle Book - Groove Party (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl)",,,,,,
Wave Rally (USA),"Jet Ski Riders (Europe) (En,Fr,De,Es,It)",,,,,,
"WinBack - Covert Operations (USA) (En,Ja)","Operation WinBack (Europe) (En,Fr,De)",,,,,,
WinBack 2 - Project Poseidon (USA),Operation WinBack 2 - Project Poseidon (Europe),,,,,,
Winter X Games Snowboarding 2002 (USA),"Winter X Games Snowboarding 2 (Europe) (En,Fr,De)",,,,,,
World of Outlaws - Sprint Cars 2002 (USA),World of Outlaws - Sprint Cars (Europe),,,,,,
World Tour Soccer 2002 (USA),"This Is Football 2002 (Europe) (En,Fr,De,Es,It,Nl)",,,,,,
"World Tour Soccer 2003 (USA) (En,Fr,De,Es,It,Nl,Pt)",This Is Football 2003 (Europe),"This Is Football 2003 (Europe) (En,Fr,De,Es,It,Nl,Pt)",,,,,
"World Tour Soccer 2005 (USA) (En,Fr,Es,It)","This Is Football 2004 (Europe) (En,No)","This Is Football 2004 (Europe) (En,Es,Pt,Ar)",This Is Soccer 2004 (Australia),,,,
"World Tour Soccer 2006 (USA) (En,Fr,Es,It)","This Is Football 2005 (Europe) (En,Es,Pt,Ar)","This is Soccer 2005 (Europe, Australia)",,,,,
WTA Tour Tennis (USA),Pro Tennis WTA Tour (Europe),,,,,,Unsure
X2 - Wolverine's Revenge (USA),X-Men 2 - Wolverine's Revenge (Europe),,,,,,
Yu-Gi-Oh! GX - The Beginning of Destiny (USA),"Yu-Gi-Oh! GX - Tag Force Evolution (Europe) (En,Fr,De,Es,It)",,,,,,
Zapper - One Wicked Cricket (USA),"Zapper (Europe) (En,Fr,De,Es,It,Nl)",,,,,,
